Session,Treetype,Location,Trap,Colour,Species,Genus,Speciesname,Sex,Count
1,O,O4,1,Y,Eristalis _pertinax,Eristalis ,pertinax,M,1
1,O,O4,1,Y,Platycheirus _albimanus,Platycheirus ,albimanus,F,1
2,O,O4,2,W,Melanostoma_scalare,Melanostoma,scalare,M,2
2,O,O4,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,4
7,O,O4,1,B,Episyrphus_balteatus,Episyrphus,balteatus,F,1
8,O,O4,2,W,Xylota_segnis,Xylota,segnis,,1
8,O,O4,2,Y,Xylota_segnis,Xylota,segnis,F,1
1,O,O4,2,B,Platycheirus _albimanus,Platycheirus ,albimanus,M,1
1,O,O5,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
1,O,O5,1,Y,Platycheirus _albimanus,Platycheirus ,albimanus,M,1
1,O,O5,2,Y,Eristalis _pertinax,Eristalis ,pertinax,M,1
1,O,O6,2,Y,Eristalis _pertinax,Eristalis ,pertinax,F,1
1,O,O6,2,Y,Syrphus_torvus,Syrphus,torvus,M,1
1,O,O6,2,Y,Eristalis _pertinax,Eristalis ,pertinax,F,1
1,O,O6,2,Y,Syrphus_torvus,Syrphus,torvus,M,1
2,O,O6,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
2,O,O6,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,2
2,O,O6,2,W,Cheilosia_variabilis,Cheilosia,variabilis,F,1
3,O,O6,2,Y,Syrphus_ribesii,Syrphus,ribesii,M,1
5,O,O6,2,B,Episyrphus_balteatus,Episyrphus,balteatus,,1
6,O,O6,2,Y,Syrphidae_spec.,Syrphidae,spec.,,1
2,O,O7,1,W,Platycheirus _albimanus,Platycheirus ,albimanus,F,1
2,O,O7,1,W,Dasysyrphus_albostriatus,Dasysyrphus,albostriatus,F,1
3,O,O7,2,W,Xylota_segnis,Xylota,segnis,M,1
6,O,O7,2,Y,Episyrphus_balteatus,Episyrphus,balteatus,F,1
1,P,P1,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
2,P,P1,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
3,P,P1,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
5,P,P1,2,B,Eupeodes_spec.,Eupeodes,spec.,,1
1,P,P2,2,W,Melanostoma_scalare,Melanostoma,scalare,M,1
2,P,P2,2,W,Melanostoma_scalare,Melanostoma,scalare,M,2
2,P,P2,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,2
4,P,P2,1,W,Rhingia _campestris,Rhingia ,campestris,M,1
5,P,P2,1,W,Syrphidae_spec.,Syrphidae,spec.,,1
5,P,P2,2,B,Episyrphus_balteatus,Episyrphus,balteatus,M,1
6,P,P2,2,B,Episyrphus_balteatus,Episyrphus,balteatus,M,1
6,P,P2,2,W,Episyrphus_balteatus,Episyrphus,balteatus,M,1
6,P,P2,2,Y,Episyrphus_balteatus,Episyrphus,balteatus,,1
7,P,P2,1,Y,Episyrphus_balteatus,Episyrphus,balteatus,,1
1,P,P3,1,B,Melanostoma_scalare,Melanostoma,scalare,M,1
1,P,P3,1,B,Melanostoma_scalare,Melanostoma,scalare,F,1
1,P,P3,2,Y,Eristalis _pertinax,Eristalis ,pertinax,M,2
5,P,P3,2,W,Syrphidae_spec.,Syrphidae,spec.,,1
6,P,P3,2,Y,Myathropa _florea,Myathropa ,florea,,1
1,P,P5,1,Y,Syrphus_vitripennis,Syrphus,vitripennis,F,1
1,P,P5,2,Y,Platycheirus _albimanus,Platycheirus ,albimanus,M,1
2,P,P5,1,B,Melanostoma_scalare,Melanostoma,scalare,M,1
2,P,P5,1,W,Melanostoma_scalare,Melanostoma,scalare,M,4
2,P,P5,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,11
2,P,P5,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
4,P,P5,2,W,Syrphidae_spec.,Syrphidae,spec.,,1
4,P,P5,2,Y,Episyrphus_balteatus,Episyrphus,balteatus,M,1
5,P,P5,2,B,Syrphidae_spec.,Syrphidae,spec.,,1
5,P,P5,2,Y,Episyrphus_balteatus,Episyrphus,balteatus,,1
2,P,P6,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
6,P,P6,1,B,Syrphidae_spec.,Syrphidae,spec.,,1
7,P,P6,1,B,Episyrphus_balteatus,Episyrphus,balteatus,,1
1,P,P7,2,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
1,P,P7,2,Y,Syrphus_vitripennis,Syrphus,vitripennis,F,1
5,P,P7,1,Y,Xylota_segnis,Xylota,segnis,M,1
7,P,P7,2,B,Melanostoma_mellinum,Melanostoma,mellinum,F,1
1,P,P8,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,1
2,P,P8,1,Y,Melanostoma_scalare,Melanostoma,scalare,M,6
2,P,P8,1,Y,Chalcosyrphus_nemorum,Chalcosyrphus,nemorum,M,1
5,P,P8,2,Y,Syrphidae_spec.,Syrphidae,spec.,,1
8,P,P8,2,Y,Syrphidae_spec.,Syrphidae,spec.,M,1
